model,country,W,F,target_var,MAE_global,RMSE_global,sMAPE_global,MAE_mean,MAE_median,MAE_p25,MAE_p75,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_median,RMSE_p25,RMSE_p75,RMSE_std,RMSE_min,RMSE_max,sMAPE_mean,sMAPE_median,sMAPE_p25,sMAPE_p75,sMAPE_std,sMAPE_min,sMAPE_max,exog_vars
prophet,China,NA,28,new_cases,12637.6251246636,17737.46973203265,90.7275926875579,12637.625124663602,11104.80782261604,3796.3811349854022,20285.409739173858,8732.89705222369,1304.30723723505,30595.882321598987,14540.106110117045,12720.452538402615,4432.851315885188,21353.973193523143,10158.894959655376,1499.7683188981525,35578.02952225638,90.7275926875579,69.06710229412165,49.91948458456618,127.42522531588064,53.38877814103363,23.029699400368536,199.9932027741228,no_exog
prophet,China,NA,7,new_cases,25151.975210094373,212997.57190507653,61.51602782236032,25151.975210094373,5625.513549546862,1456.9939058020116,14776.71458581433,82284.07351427888,389.60884262816984,489693.19911227253,51817.74383339608,6664.209080794026,1706.1404202639053,14954.459687179733,206598.3713911482,452.28732482633853,1078141.6135754522,61.516027822360314,36.9923328017678,17.572323017699148,86.65489046142662,56.22866134702523,5.0596374840855365,199.98407374889982,death_all
prophet,China,NA,7,new_cases,25671.914238193072,217061.52045670061,62.352440655913796,25671.91423819307,5691.992670666488,2154.225187216701,15481.371138741284,83931.65040913077,447.6617904416854,500390.420101663,52822.21534815589,6767.510892935308,2688.1823180676115,15869.178186384874,210536.2610779618,552.0768022521592,1092533.8236562638,62.3524406559138,34.90252477854755,23.00985068452279,86.87862781027594,55.21985732005099,6.425101196863806,199.98509196027155,death_mobility
prophet,China,NA,7,new_cases,25721.30286536216,216622.23272200898,63.59217120987154,25721.30286536216,5764.870385855437,2255.2844664544855,15662.402850632196,83755.05229876847,556.8474577807989,493817.30184297956,52806.58681099923,6617.518234608006,2615.8059183633836,15827.120243640135,210087.25829721475,689.0960716994307,1088638.7919408546,63.59217120987155,35.816445234567496,26.64800381916423,87.59547570820438,54.51402790899133,7.6524450971303715,199.9850938621979,death_recovered
prophet,China,NA,7,new_cases,25163.70936290674,212645.0203901297,61.86605300708295,25163.709362906742,5674.470545050537,1469.0789687851516,14942.033550213935,82165.80491171345,464.549025666996,488982.00100905384,51789.46507242081,6789.488297700376,1711.8117797394032,14973.594185048058,206241.9840969127,566.2362459389103,1068016.1555965345,61.86605300708295,37.07985400799854,18.025262192893447,87.18233116488766,56.16557190901163,6.427732435706695,199.98410735171973,death_stringency
prophet,China,NA,7,new_cases,9725.467706007086,14366.143459425577,71.28501990827756,9725.467706007086,6533.275473975551,3039.7038133863743,15560.381093683649,8197.083601989478,652.4948994117219,36006.802689099604,10766.851153674532,8358.865381726897,3306.698795671737,15716.621915008614,9511.09847133409,742.1449863131488,40730.18612703316,71.28501990827756,51.04026239504405,37.08852940130642,90.74207398965402,50.125769278456566,12.63556036698778,199.9840647314504,no_exog
prophet,Germany,NA,14,new_cases,34278.862878094675,42448.59369089404,109.96178024235803,34278.862878094675,32655.20028236068,21885.345202451,46271.16087681045,14192.993046062084,10473.588695922876,62682.886785178234,39806.55696408161,37008.07296119546,27142.24599539661,52356.46097545349,14741.815661577626,14659.659982934216,68408.30569277034,109.96178024235802,107.58059657793822,89.44874759876086,127.76995855208571,23.52672025835642,73.90406430692438,153.99723157047967,death_all
prophet,Germany,NA,14,new_cases,31930.07979959086,39079.3989776811,103.14054211134437,31930.07979959086,31490.560788829163,17826.875355104108,44546.72810513608,13291.60707359071,12967.689893925863,55499.18193952087,36464.461353858576,36352.2730626682,21704.681547139822,49274.931804190725,14054.980705420285,15599.112236917998,59902.26890939711,103.14054211134437,99.18164239187232,85.19236393236277,112.9020670375533,21.262413003889908,73.35110298694481,154.80318566135213,death_mobility
prophet,Germany,NA,14,new_cases,28207.08271486104,36678.505908837986,105.83787365643849,28207.08271486105,24553.083211562465,18277.907183860003,34179.20692731739,13195.171223397538,10792.477058843118,66378.87143337734,33241.1805374291,29145.582794461785,22536.47641079173,38128.896250874444,15502.796914837894,13573.302175377723,81071.01369128148,105.83787365643846,95.87024418045675,85.46792378137297,128.96461925238034,23.544746727002224,73.86540632637175,153.34300103296582,death_recovered
prophet,Germany,NA,14,new_cases,32771.26909181882,40794.48694892437,107.16382334052153,32771.269091818824,31024.18605445059,19353.024983010517,46826.21560234924,15078.163601381777,9593.20901617627,60782.97118506497,37390.84656913233,34793.98999463886,23100.788420016062,52044.5535051895,16313.024191411181,14191.687271035695,74924.62868323088,107.16382334052153,101.08004672036583,84.03389592117168,124.24517597737439,24.941532938412692,76.536788706018,156.10421228089328,death_stringency
prophet,Germany,NA,14,new_cases,31275.97038304275,38840.71030524212,104.52396865361091,31275.97038304275,31264.209598108617,19850.634612984217,40622.378877793606,14052.468348638487,6875.022080822047,63884.170518261926,35739.115576359385,34857.33316568683,23330.648437979737,43246.226092653524,15209.089217812094,11351.28462455659,76823.4235937047,104.52396865361091,98.509216119408,84.5446991970239,120.71328614181436,23.386578372047754,70.00007013624437,152.38495896879354,no_exog
